,dataset,file_name,jobid,timeserie,signal_length,n_cluster,change_points,computation_time
96,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107416.csv,107416,bytesWritten,64,2,3,0.15020298957824707
97,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107416.csv,107416,bytesRead,64,2,1,0.1475684642791748
98,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_108010.csv,108010,bytesWritten,2885,2,27,1.7008306980133057
99,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_108010.csv,108010,bytesRead,2885,2,1,1.5946550369262695
100,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_101329.csv,101329,bytesWritten,55,2,5,0.14091753959655762
101,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_101329.csv,101329,bytesRead,55,2,1,0.1405646800994873
102,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107998.csv,107998,bytesWritten,59,4,10,0.14711999893188477
103,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107998.csv,107998,bytesRead,59,2,1,0.13912367820739746
104,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107251.csv,107251,bytesWritten,54,2,7,0.13949918746948242
105,dataset_gysela,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_gysela/job_107251.csv,107251,bytesRead,54,2,1,0.13648343086242676
