,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
149,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Clinear,6.41580032722599e+20,0.015848931924611134,0.05085349082946777
150,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Clinear,6.41580032722599e+20,0.25118864315095796,0.050690650939941406
151,dataset_oth_db,1391,bytesWritten,1526,4,Wind,Clinear,4.4482896519283723e+20,3.981071705534969,0.051618337631225586
152,dataset_oth_db,1391,bytesWritten,1526,11,Wind,Clinear,6.0019231173376836e+19,63.0957344480193,0.05574607849121094
153,dataset_oth_db,1391,bytesWritten,1526,1,Wind,AR,3.868224924089446e+18,0.001,0.07639241218566895
154,dataset_oth_db,1391,bytesWritten,1526,1,Wind,AR,3.868224924089446e+18,0.015848931924611134,0.07615375518798828
155,dataset_oth_db,1391,bytesWritten,1526,1,Wind,AR,3.868224924089446e+18,0.25118864315095796,0.07623767852783203
156,dataset_oth_db,1391,bytesWritten,1526,4,Wind,AR,2.7821793659768965e+18,3.981071705534969,0.07741665840148926
157,dataset_oth_db,1391,bytesWritten,1526,6,Wind,AR,2.4879363516918057e+18,63.0957344480193,0.07891845703125
158,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Mala,2.933303518469411e+20,0.001,0.03814554214477539
159,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Mala,2.933303518469411e+20,0.015848931924611134,0.0373079776763916
160,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Mala,2.933303518469411e+20,0.25118864315095796,0.037503957748413086
161,dataset_oth_db,1391,bytesWritten,1526,4,Wind,Mala,1.670406321792016e+20,3.981071705534969,0.04063534736633301
162,dataset_oth_db,1391,bytesWritten,1526,7,Wind,Mala,7.641963766024841e+18,63.0957344480193,0.04296731948852539
163,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Rank,[[-261.97149059]],0.001,0.06451702117919922
164,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Rank,[[-261.97149059]],0.015848931924611134,0.06401467323303223
165,dataset_oth_db,1391,bytesWritten,1526,1,Wind,Rank,[[-261.97149059]],0.25118864315095796,0.06370997428894043
166,dataset_oth_db,1391,bytesWritten,1526,4,Wind,Rank,[[-942.65196178]],3.981071705534969,0.06437182426452637
167,dataset_oth_db,1391,bytesWritten,1526,7,Wind,Rank,[[-1436.73999748]],63.0957344480193,0.06560420989990234
168,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,0.001,4.930095195770264
169,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,0.015848931924611134,4.923751354217529
170,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,0.25118864315095796,4.9193501472473145
171,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,3.981071705534969,4.915898084640503
172,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,63.0957344480193,4.924818277359009
173,dataset_oth_db,1391,bytesRead,1526,0,Pelt,L1,1680117.0,1000.0,4.907686710357666
174,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,0.001,3.520339012145996
175,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,0.015848931924611134,3.51840877532959
176,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,0.25118864315095796,3.521749496459961
177,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,3.981071705534969,3.5249576568603516
178,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,63.0957344480193,3.5296480655670166
179,dataset_oth_db,1391,bytesRead,1526,3,Pelt,L2,2255937276535.2,1000.0,3.511122941970825
180,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Gauss,-20751.790156130402,0.001,1.716193437576294
