,duration,size
5ad8b69e68db660d91754c81,690.0,335557.0
5ad8b8a968db660e5f51a901,778.0,464701.0
5ad8b90468db660e9f108f41,681.0,296521.0
5ad8b95368db660ed81e9f31,679.0,331942.0
5ad8bbae68db660fc47d9a11,682.0,291504.0
5ad8bbc868db660feb02bd71,786.0,440030.0
5ad8bbfb68db66101f4f1c61,691.0,467622.0
5ad8be5868db66112c048d91,681.0,318018.0
5ad8beb668db66116519b311,681.0,329389.0
5ad8bef268db66119e157561,775.0,361829.0
5ad8c10e68db66126b305cb1,681.0,407272.0
5ad8c16868db6612b011c651,687.0,304624.0
5ad8c1ff68db6612fc528921,780.0,382520.0
5ad8c3c068db6613b6031281,687.0,304566.0
5ad8c41b68db6613f6242061,681.0,319234.0
5ad8c50c68db66145d359141,780.0,361693.0
5ad8c67368db661502038951,678.0,452655.0
5ad8c6c468db66153b79c771,682.0,300076.0
5ad8c83468db6615cb3eee81,779.0,372820.0
5ad8c91968db661648341411,684.0,332744.0
5ad8c97f68db66168845c131,679.0,302352.0
5ad9e86368db66299f6f1a31,10039.0,3817740.0
5ad9e86368db6629a74eab51,8040.0,3037301.0
5ad9e86368db6629b24b3601,8042.0,3052285.0
5ada07cc68db663762029ff1,7809.0,3068699.0
5ada07cd68db6637845f72d1,7826.0,2919899.0
5ada0f9b68db663a4741c1e1,10029.0,3710520.0
5ada264e68db6641b80eb031,7486.0,2861296.0
5ada265f68db6641e47b43a1,7495.0,2791932.0
5ada36e468db66475c40c871,10032.0,3708069.0
5ada438d68db664b8f3dcf11,7510.0,2796464.0
5ada43a668db664bbd147841,7564.0,2887005.0
5ada5e1568db665480580291,10024.0,3705017.0
5ada60e368db66558969d641,7494.0,2850838.0
5ada613268db6655c95deaf1,7546.0,2807772.0
5ada7e2968db665fc2561411,7543.0,2988548.0
5ada7eac68db666012491161,7527.0,2803446.0
5ada854a68db66626f19e141,10034.0,3760727.0
5ada9bad68db6669e309f451,7492.0,2780852.0
5ada9c1368db666a233543f1,7474.0,2845264.0
5adaac8d68db666f9b57a341,10040.0,3710085.0
5adab8fa68db6673d670bc11,7506.0,2789215.0
5adab95468db6674167f8841,7587.0,2821980.0
5adad3d068db667cd27520c1,10045.0,3861953.0
5adad66468db667dcc3f1ab1,7526.0,2797738.0
5adad6fa68db667e1c5fd341,7564.0,2884365.0
5adaf3cf68db6609f73e6061,7547.0,2808529.0
5adaf48668db660a4910a3c1,7530.0,2803623.0
5adafb1368db660c97488691,9999.0,3692364.0
5adb115668db6614126a8541,7532.0,3084910.0
5adb120a68db66146e5c7671,7528.0,2804071.0
5adb223668db6619d2073b41,9366.0,3548428.0
5adb2ede68db661e0d0ef651,7511.0,2811905.0
5adb2f7468db661e5f4e34a1,7501.0,2807302.0
5adb46d968db662620018fd1,9439.0,3559554.0
5adb4c3668db6627e828d9a1,7503.0,2818649.0
5adb4cc168db662846138c51,7512.0,2812354.0
5adb699468db6631db616451,7486.0,2867055.0
5adb6a1968db6632215af871,7481.0,2799610.0
5adb6bce68db6632db119e41,9370.0,3576576.0
5adb86e068db663bb6260d91,7480.0,2803426.0
5adb875268db663bf60f1881,7485.0,2803956.0
5adb907c68db663f2401f1b1,9434.0,3502091.0
5adba41968db6645956fa5f1,7512.0,2878926.0
5adba48f68db6645e12091f1,7533.0,2821549.0
5adbb56768db664bce1959a1,9365.0,3479932.0
5adbc17268db664fc571c0e1,7478.0,2870894.0
5adbc1fc68db665011723aa1,7466.0,2799502.0
5adbd9fc68db665829533921,9418.0,3561286.0
5adbdea968db6659f27c57c1,7496.0,2801863.0
5adbdf3e68db665a4c163241,7501.0,2805387.0
5adbfbf468db6663e1152a21,7542.0,2991028.0
5adbfc8b68db66642e0bd4b1,7574.0,2839644.0
5adbfee268db6665113d8721,9462.0,3523284.0
5adc197d68db666ddd690941,7501.0,2869311.0
5adc1a2168db666e442fa121,7511.0,2881974.0
5adc23d968db66717a4566d1,9456.0,3515069.0
5adc36e668db6677d1125911,7555.0,2828318.0
5adc377868db6678233a4511,7509.0,2806744.0
5adc48d468db667dde65b0e1,9372.0,3552862.0
5adc546968db6603205d1f41,7452.0,2787314.0
5adc54cd68db6603790138d1,7206.0,2760164.0
5adc6d8268db660ca354f381,9283.0,3449371.0
5adc710668db660df3630011,7205.0,2686679.0
5adc719c68db660e4b2eb6b1,7215.0,2694637.0
5adc8d2b68db661761724ee1,7225.0,2882524.0
5adc8dcc68db6617bd4df181,7245.0,2717238.0
5adc91c668db66191c66ce71,9338.0,3529919.0
5adca96468db6620fb468761,7652.0,2938198.0
5adcaa3668db66215c63cc21,7657.0,2876813.0
5adcb64968db6625787ccb21,9392.0,3493486.0
5adcc76568db662b210141d1,7311.0,2733608.0
5adcc83668db662b8d0a4981,7326.0,2818960.0
5adcdb1468db6631bc3984a1,9293.0,3530503.0
5adce3fd68db6634cd3a89b1,7238.0,2706773.0
5adce4ec68db66354674f2f1,7221.0,2699771.0
5adcff7b68db663dfa2589b1,9402.0,3502545.0
5add005968db663e6d00b491,7615.0,2855530.0
5add012268db663ece028611,7630.0,2924455.0
5add1e1d68db6648a1209b21,7237.0,2948164.0
5add1f0d68db664908668751,7223.0,2765819.0
5add243668db664ae37339a1,9303.0,3451017.0
5add3a7868db66522b7013e1,7225.0,2701753.0
5add3b4a68db665293451ea1,7283.0,2722735.0
5add48a668db66572b575851,9372.0,3554361.0
5add56b168db665c120434b1,7268.0,2716261.0
5add57c468db665c942a0651,7220.0,2768578.0
5add6d5468db6663c3637261,9372.0,3482054.0
5add733168db6665c63efc51,7597.0,2839177.0
5add740268db666632448b31,7573.0,2843168.0
5add90de68db666ff6200181,7159.0,2710020.0
5b6ace1acbd0b0a7e844dbea,355.0,127732.0
5b6acf70cbd0b0a7e844e07a,350.0,125907.0
5b6ad0c5cbd0b0a7e844e523,350.0,125835.0
5b6ad219cbd0b0a7e844e9ce,350.0,125763.0
5b6ad36dcbd0b0a7e844ee77,350.0,125955.0
5b6ad4c2cbd0b0a7e844f320,350.0,125691.0
5b6ad616cbd0b0a7e844f7c9,350.0,125763.0
5b6ad76bcbd0b0a7e844fc70,350.0,125787.0
5b6ad8bfcbd0b0a7e845011a,350.0,125835.0
5b6ada14cbd0b0a7e84505c2,345.0,124155.0
5b6adb69cbd0b0a7e8450a5b,350.0,125692.0
5b6adcbdcbd0b0a7e8450f03,350.0,125620.0
5b6ade12cbd0b0a7e84513ac,350.0,125668.0
5b6adf66cbd0b0a7e8451857,350.0,125836.0
5b6ae0bbcbd0b0a7e8451cff,350.0,125644.0
5b6ae20fcbd0b0a7e84521a7,350.0,125692.0
5b6ae364cbd0b0a7e8452676,350.0,126052.0
5b6ae4b9cbd0b0a7e8452b2f,345.0,124203.0
5b6ae62ccbd0b0a7e8452ff2,350.0,126004.0
5b6ae781cbd0b0a7e8453473,350.0,125516.0
5b6ae8d5cbd0b0a7e845391d,350.0,125548.0
5b6aea2acbd0b0a7e8453dc6,350.0,125956.0
5b6aeb7ecbd0b0a7e845426e,350.0,125956.0
5b6aecd3cbd0b0a7e8454718,350.0,125692.0
5b6aee27cbd0b0a7e8454bc0,350.0,125764.0
5b6aef7ccbd0b0a7e845506a,345.0,123771.0
5b6af0d0cbd0b0a7e8455502,350.0,125572.0
5b6af225cbd0b0a7e84559aa,350.0,125980.0
5b6af37acbd0b0a7e8455e53,350.0,125956.0
5b6af4cecbd0b0a7e84562fc,350.0,125956.0
5b6af623cbd0b0a7e84567a6,350.0,125572.0
5b6af778cbd0b0a7e8456c50,350.0,125692.0
5b6af8cdcbd0b0a7e84570f9,345.0,123939.0
5b6afa21cbd0b0a7e8457591,350.0,125348.0
5b6afb85cbd0b0a7e8457a3c,350.0,125716.0
5b6afcd9cbd0b0a7e8457ee6,350.0,125668.0
5b6afe2ecbd0b0a7e845838e,350.0,125908.0
5b6aff83cbd0b0a7e8458834,350.0,125956.0
5b6b00d7cbd0b0a7e8458cdd,350.0,125836.0
5b6b022ccbd0b0a7e8459187,350.0,125692.0
5b6b0380cbd0b0a7e8459631,350.0,125643.0
5b6b04d5cbd0b0a7e8459ada,345.0,124034.0
5b6b0629cbd0b0a7e8459f72,345.0,124106.0
5b6b077ecbd0b0a7e845a40a,350.0,125547.0
5b6b08d2cbd0b0a7e845a8b3,350.0,125979.0
5b6b0a27cbd0b0a7e845ad5f,350.0,125931.0
5b6b0b7bcbd0b0a7e845b20c,350.0,125835.0
5b6b0cd0cbd0b0a7e845b6b4,350.0,125763.0
5b6b0e25cbd0b0a7e845bb5c,350.0,125571.0
5b6b0f79cbd0b0a7e845c005,350.0,125860.0
5b6b10cecbd0b0a7e845c4ad,345.0,123915.0
5b6b1222cbd0b0a7e845c946,345.0,123963.0
5b6b1377cbd0b0a7e845cdde,350.0,125716.0
5b6b14cbcbd0b0a7e845d287,350.0,125572.0
5b6b1620cbd0b0a7e845d72f,350.0,125740.0
5b6b1774cbd0b0a7e845dbd8,350.0,125660.0
5b6b18c9cbd0b0a7e845e081,350.0,125980.0
5b6b1a1dcbd0b0a7e845e52a,350.0,125900.0
5b6b1b72cbd0b0a7e845e9d2,350.0,125932.0
5b6b1cc6cbd0b0a7e845ee7c,350.0,125812.0
5b6b1e1bcbd0b0a7e845f324,345.0,123939.0
5b6b1f6fcbd0b0a7e845f7bc,345.0,124155.0
5b6b20c3cbd0b0a7e845fc55,350.0,125980.0
5b6b2218cbd0b0a7e84600fe,350.0,126004.0
5b6b236dcbd0b0a7e84605a8,350.0,125884.0
